locus_tag	ftype	length_bp	gene	EC_number	COG	product
EGAJGLNG_00052	CDS	654	alkB_1	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
EGAJGLNG_00053	CDS	1215				hypothetical protein
EGAJGLNG_00054	CDS	1629	ilvI_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
EGAJGLNG_00055	CDS	873	yisK_1		COG0179	putative protein YisK
EGAJGLNG_00056	CDS	984	bphC_1	1.13.11.39		Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase
EGAJGLNG_00057	CDS	1545	amnC	1.2.1.32		2-aminomuconic 6-semialdehyde dehydrogenase
EGAJGLNG_00058	CDS	399	hpcD	5.3.3.10		5-carboxymethyl-2-hydroxymuconate Delta-isomerase
EGAJGLNG_00059	CDS	807	hpcG	4.2.1.163		2-oxo-hept-4-ene-1,7-dioate hydratase
EGAJGLNG_00060	CDS	534				hypothetical protein
EGAJGLNG_00061	CDS	996				hypothetical protein
EGAJGLNG_00062	CDS	1146	braC_1		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
EGAJGLNG_00063	CDS	876	livH_3		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
EGAJGLNG_00064	CDS	1773	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
EGAJGLNG_00065	CDS	729	livF_3		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
EGAJGLNG_00066	CDS	1086	hcxB	1.1.1.-	COG2055	Hydroxycarboxylate dehydrogenase B
EGAJGLNG_00067	CDS	777	hpcH	4.1.2.52	COG3836	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase
EGAJGLNG_00068	CDS	1524	garD_1	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
EGAJGLNG_00069	CDS	504				hypothetical protein
EGAJGLNG_00070	CDS	3258				hypothetical protein
EGAJGLNG_00071	CDS	2538			COG2307	putative protein
EGAJGLNG_00072	CDS	879			COG1305	putative protein
EGAJGLNG_00073	CDS	1503				hypothetical protein
EGAJGLNG_00074	CDS	1752				hypothetical protein
EGAJGLNG_00075	CDS	1383	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
EGAJGLNG_00076	CDS	1587	hpnP	2.1.1.-		Hopanoid C-2 methylase
EGAJGLNG_00077	CDS	795	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
EGAJGLNG_00078	CDS	2385				hypothetical protein
EGAJGLNG_00079	CDS	504				hypothetical protein
EGAJGLNG_00080	CDS	237				hypothetical protein
EGAJGLNG_00081	CDS	234				hypothetical protein
EGAJGLNG_00082	CDS	879	hpnC	4.2.3.156	COG1562	Hydroxysqualene synthase
EGAJGLNG_00083	CDS	837	hpnD	2.5.1.103	COG1562	Presqualene diphosphate synthase
EGAJGLNG_00084	CDS	1251	hpnE	1.17.8.1	COG2907	Hydroxysqualene dehydroxylase
EGAJGLNG_00085	CDS	1962	shc	4.2.1.129	COG1657	Squalene--hopene cyclase
EGAJGLNG_00086	CDS	648	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
EGAJGLNG_00087	CDS	645				hypothetical protein
EGAJGLNG_00088	CDS	1689	aidB_1	1.3.99.-	COG1960	Putative acyl-CoA dehydrogenase AidB
EGAJGLNG_00089	CDS	843	fucA_1	4.1.2.17		L-fuculose phosphate aldolase
EGAJGLNG_00090	CDS	903				hypothetical protein
EGAJGLNG_00091	CDS	1161	pqqE			Coenzyme PQQ synthesis protein E
EGAJGLNG_00092	CDS	927	ispH_1	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
EGAJGLNG_00093	CDS	2613				hypothetical protein
EGAJGLNG_00094	CDS	630				hypothetical protein
EGAJGLNG_00095	CDS	1392	pigE	2.6.1.-		Aminotransferase PigE
EGAJGLNG_00096	CDS	771				hypothetical protein
EGAJGLNG_00097	CDS	558	sigR		COG1595	ECF RNA polymerase sigma factor SigR
EGAJGLNG_00098	CDS	324	mauC			Amicyanin
EGAJGLNG_00099	CDS	954	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
EGAJGLNG_00100	CDS	408				hypothetical protein
EGAJGLNG_00101	CDS	507				hypothetical protein
EGAJGLNG_00102	CDS	1104				Ca(2+)/H(+) antiporter
EGAJGLNG_00103	CDS	234				hypothetical protein
EGAJGLNG_00104	CDS	447				hypothetical protein
EGAJGLNG_00105	CDS	915				hypothetical protein
EGAJGLNG_00106	CDS	1053	rhaR_1			HTH-type transcriptional activator RhaR
EGAJGLNG_00107	CDS	372				hypothetical protein
EGAJGLNG_00108	CDS	357				hypothetical protein
EGAJGLNG_00109	CDS	1434				hypothetical protein
EGAJGLNG_00110	CDS	1020				hypothetical protein
EGAJGLNG_00111	CDS	435				hypothetical protein
EGAJGLNG_00112	CDS	903		3.1.1.10		Tropinesterase
EGAJGLNG_00113	CDS	1620	alkJ_1	1.1.99.-		Alcohol dehydrogenase [acceptor]
EGAJGLNG_00114	CDS	1308	nicT_1			Putative metabolite transport protein NicT
EGAJGLNG_00115	CDS	453				hypothetical protein
EGAJGLNG_00116	CDS	492				hypothetical protein
EGAJGLNG_00117	CDS	837	pcaR_1		COG1414	Pca regulon regulatory protein
EGAJGLNG_00118	CDS	627				hypothetical protein
EGAJGLNG_00119	CDS	426				hypothetical protein
EGAJGLNG_00120	CDS	1173	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
EGAJGLNG_00121	CDS	1182		1.14.-.-		Cytochrome P450-pinF2, plant-inducible
EGAJGLNG_00122	CDS	909	pcpR_1			PCP degradation transcriptional activation protein
EGAJGLNG_00123	CDS	1623	pitA_1		COG0306	Low-affinity inorganic phosphate transporter 1
EGAJGLNG_00124	CDS	1449				hypothetical protein
EGAJGLNG_00125	CDS	717				hypothetical protein
EGAJGLNG_00126	CDS	1530	imuB			Protein ImuB
EGAJGLNG_00127	CDS	3438	dnaE2	2.7.7.7		Error-prone DNA polymerase
EGAJGLNG_00128	CDS	288				hypothetical protein
EGAJGLNG_00129	CDS	1413	frc_1	2.8.3.16		Formyl-CoA:oxalate CoA-transferase
EGAJGLNG_00130	CDS	1248	mdtA_2			Multidrug resistance protein MdtA
EGAJGLNG_00131	CDS	3135	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
EGAJGLNG_00132	CDS	969		3.1.1.92		4-sulfomuconolactone hydrolase
EGAJGLNG_00133	CDS	1431	bepC_1			Outer membrane efflux protein BepC
EGAJGLNG_00134	CDS	1872				hypothetical protein
EGAJGLNG_00135	CDS	780	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
EGAJGLNG_00136	CDS	684				hypothetical protein
EGAJGLNG_00137	CDS	546	sigF			ECF RNA polymerase sigma factor SigF
EGAJGLNG_00138	CDS	639	nrsF			Anti-sigma-F factor NrsF
EGAJGLNG_00139	CDS	1107				hypothetical protein
EGAJGLNG_00140	CDS	1149				hypothetical protein
EGAJGLNG_00141	CDS	501	sigL		COG1595	ECF RNA polymerase sigma factor SigL
EGAJGLNG_00142	CDS	720				hypothetical protein
EGAJGLNG_00143	CDS	1683				hypothetical protein
EGAJGLNG_00144	misc_RNA	101				Rhizobiales-2
EGAJGLNG_00145	CDS	477				hypothetical protein
EGAJGLNG_00146	CDS	1374				hypothetical protein
EGAJGLNG_00147	CDS	291				hypothetical protein
EGAJGLNG_00148	CDS	648	pcp	3.4.19.3		Pyrrolidone-carboxylate peptidase
EGAJGLNG_00149	CDS	993		3.6.-.-	COG1703	putative GTPase
EGAJGLNG_00150	CDS	801				hypothetical protein
EGAJGLNG_00151	CDS	2157	mutB	5.4.99.2	COG1884	putative methylmalonyl-CoA mutase large subunit
EGAJGLNG_00152	CDS	471				hypothetical protein
EGAJGLNG_00153	CDS	1875	mutA	5.4.99.2	COG1884	Methylmalonyl-CoA mutase small subunit
EGAJGLNG_00154	CDS	492	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
EGAJGLNG_00155	CDS	381	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
EGAJGLNG_00156	CDS	840	folP	2.5.1.15	COG0294	Dihydropteroate synthase
EGAJGLNG_00157	CDS	408				hypothetical protein
EGAJGLNG_00158	CDS	366				hypothetical protein
EGAJGLNG_00159	CDS	1623				hypothetical protein
EGAJGLNG_00160	CDS	1401	dapE_1	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
EGAJGLNG_00161	CDS	780	mtnB_1	4.2.1.109		Methylthioribulose-1-phosphate dehydratase
EGAJGLNG_00162	CDS	1650				hypothetical protein
EGAJGLNG_00163	CDS	477	ibpA_1		COG0071	Small heat shock protein IbpA
EGAJGLNG_00164	CDS	948	pldB	3.1.1.5	COG2267	Lysophospholipase L2
EGAJGLNG_00165	CDS	660				hypothetical protein
EGAJGLNG_00166	CDS	1800				hypothetical protein
EGAJGLNG_00167	CDS	636	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
EGAJGLNG_00168	CDS	753				hypothetical protein
EGAJGLNG_00169	CDS	894	cmpR_1			HTH-type transcriptional activator CmpR
EGAJGLNG_00170	CDS	969				hypothetical protein
EGAJGLNG_00171	CDS	780	hisN_1	3.1.3.15	COG0483	Histidinol-phosphatase
EGAJGLNG_00172	misc_RNA	77				suhB
EGAJGLNG_00173	CDS	969				hypothetical protein
EGAJGLNG_00174	CDS	360	cpdR_1			Response regulator receiver protein CpdR
EGAJGLNG_00175	tRNA	75				tRNA-Val(gac)
EGAJGLNG_00176	CDS	618				hypothetical protein
EGAJGLNG_00177	CDS	915	occR_1			Octopine catabolism/uptake operon regulatory protein OccR
EGAJGLNG_00178	CDS	426				hypothetical protein
EGAJGLNG_00179	CDS	1791				hypothetical protein
EGAJGLNG_00180	CDS	93				hypothetical protein
EGAJGLNG_00181	misc_RNA	111				ykkC-yxkD
EGAJGLNG_00182	CDS	1074				hypothetical protein
EGAJGLNG_00183	CDS	819	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
EGAJGLNG_00184	CDS	834	btuD_2	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
EGAJGLNG_00185	CDS	846				hypothetical protein
EGAJGLNG_00186	CDS	639				hypothetical protein
EGAJGLNG_00187	CDS	3543				hypothetical protein
EGAJGLNG_00188	CDS	1047	virS			HTH-type transcriptional regulator VirS
EGAJGLNG_00189	CDS	159				hypothetical protein
EGAJGLNG_00190	CDS	696	livF_4		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
EGAJGLNG_00191	CDS	750	lptB_3	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
EGAJGLNG_00192	CDS	1293				hypothetical protein
EGAJGLNG_00193	CDS	948	livH_4		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
EGAJGLNG_00194	CDS	1239	braC_2		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
EGAJGLNG_00195	CDS	207				hypothetical protein
EGAJGLNG_00196	CDS	1227				hypothetical protein
EGAJGLNG_00197	CDS	1065				hypothetical protein
EGAJGLNG_00198	CDS	195				hypothetical protein
EGAJGLNG_00199	CDS	423	rnk		COG0782	Regulator of nucleoside diphosphate kinase
EGAJGLNG_00200	CDS	531				hypothetical protein
EGAJGLNG_00201	CDS	567				hypothetical protein
EGAJGLNG_00202	CDS	918	hcaR_1			Hca operon transcriptional activator HcaR
EGAJGLNG_00203	CDS	549				hypothetical protein
EGAJGLNG_00204	CDS	996	rhaS_1			HTH-type transcriptional activator RhaS
EGAJGLNG_00205	CDS	714	inhA_1	4.2.1.103		Isonitrile hydratase
EGAJGLNG_00206	CDS	480				hypothetical protein
EGAJGLNG_00207	CDS	1065				hypothetical protein
EGAJGLNG_00208	CDS	1113				hypothetical protein
EGAJGLNG_00209	CDS	414	hcaC_1			3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
EGAJGLNG_00210	CDS	615	yfcG_1	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
EGAJGLNG_00211	CDS	2076	hmp_1	1.14.12.17		Flavohemoprotein
EGAJGLNG_00212	CDS	408				hypothetical protein
EGAJGLNG_00213	CDS	576				hypothetical protein
EGAJGLNG_00214	CDS	978	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
EGAJGLNG_00215	CDS	2001				hypothetical protein
EGAJGLNG_00216	CDS	585				hypothetical protein
EGAJGLNG_00217	CDS	384	mosB			Molybdenum storage protein subunit beta
EGAJGLNG_00218	CDS	882	mosA			Molybdenum storage protein subunit alpha
EGAJGLNG_00219	CDS	396				hypothetical protein
EGAJGLNG_00220	CDS	372				hypothetical protein
EGAJGLNG_00221	CDS	1176				hypothetical protein
EGAJGLNG_00222	CDS	210	cspA_1		COG1278	Cold shock protein CspA
EGAJGLNG_00223	CDS	609				hypothetical protein
EGAJGLNG_00224	CDS	696				hypothetical protein
EGAJGLNG_00225	CDS	276				hypothetical protein
EGAJGLNG_00226	CDS	1068				hypothetical protein
EGAJGLNG_00227	CDS	876				hypothetical protein
EGAJGLNG_00228	CDS	1200				hypothetical protein
EGAJGLNG_00229	CDS	1122				hypothetical protein
EGAJGLNG_00230	CDS	996				hypothetical protein
EGAJGLNG_00231	CDS	207				hypothetical protein
EGAJGLNG_00232	CDS	852	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
EGAJGLNG_00233	CDS	1497	styD_1	1.2.1.39		Phenylacetaldehyde dehydrogenase
EGAJGLNG_00234	CDS	384	mopA		COG2005	Molybdenum-pterin-binding protein MopA
EGAJGLNG_00235	CDS	1128	nemA_1	1.-.-.-	COG1902	N-ethylmaleimide reductase
EGAJGLNG_00236	CDS	516				hypothetical protein
EGAJGLNG_00237	CDS	1665	mdlC_1	4.1.1.7		Benzoylformate decarboxylase
EGAJGLNG_00238	CDS	1386	dmoA_1	1.14.13.131		Dimethyl-sulfide monooxygenase
EGAJGLNG_00239	CDS	1386	dapE_2	3.5.1.18		Succinyl-diaminopimelate desuccinylase
EGAJGLNG_00240	CDS	1287	proP_1			Proline/betaine transporter
EGAJGLNG_00241	CDS	846				hypothetical protein
EGAJGLNG_00242	CDS	1509				hypothetical protein
EGAJGLNG_00243	CDS	486				hypothetical protein
EGAJGLNG_00244	CDS	963				hypothetical protein
EGAJGLNG_00245	CDS	417				hypothetical protein
EGAJGLNG_00246	CDS	849	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
EGAJGLNG_00247	CDS	918	gltI_1		COG0834	Glutamate/aspartate import solute-binding protein
EGAJGLNG_00248	CDS	732	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
EGAJGLNG_00249	CDS	699	gltK		COG0765	Glutamate/aspartate import permease protein GltK
EGAJGLNG_00250	CDS	732	glnQ_1			Glutamine transport ATP-binding protein GlnQ
EGAJGLNG_00251	CDS	861	dat	2.6.1.21		D-alanine aminotransferase
EGAJGLNG_00252	CDS	459				hypothetical protein
EGAJGLNG_00253	CDS	1617	emrB_1			Multidrug export protein EmrB
EGAJGLNG_00254	CDS	1170	emrK_1		COG1566	putative multidrug resistance protein EmrK
EGAJGLNG_00255	CDS	912	dmlR_1			HTH-type transcriptional regulator DmlR
EGAJGLNG_00256	CDS	972				hypothetical protein
EGAJGLNG_00257	CDS	186				hypothetical protein
EGAJGLNG_00258	CDS	1491	mctP			Monocarboxylate transport permease protein
EGAJGLNG_00259	CDS	3477				hypothetical protein
EGAJGLNG_00260	CDS	456	lrp_1		COG1522	Leucine-responsive regulatory protein
EGAJGLNG_00261	CDS	501				hypothetical protein
EGAJGLNG_00262	CDS	414				hypothetical protein
EGAJGLNG_00263	CDS	921	pgrR_1			HTH-type transcriptional regulator PgrR
EGAJGLNG_00264	CDS	141				hypothetical protein
EGAJGLNG_00265	CDS	876				hypothetical protein
EGAJGLNG_00266	CDS	786	yisK_2		COG0179	putative protein YisK
EGAJGLNG_00267	CDS	1365	ntaA_1	1.14.14.10		Nitrilotriacetate monooxygenase component A
EGAJGLNG_00268	CDS	1053	yjmC	1.1.1.-	COG2055	putative oxidoreductase YjmC
EGAJGLNG_00269	CDS	4164				hypothetical protein
EGAJGLNG_00270	CDS	342				hypothetical protein
EGAJGLNG_00271	CDS	240				hypothetical protein
EGAJGLNG_00272	CDS	471				hypothetical protein
EGAJGLNG_00273	CDS	600				hypothetical protein
EGAJGLNG_00274	CDS	1518				hypothetical protein
EGAJGLNG_00275	CDS	1107	cel-3	3.2.1.4	COG2730	Endoglucanase 3
EGAJGLNG_00276	CDS	948				hypothetical protein
EGAJGLNG_00277	CDS	1617				hypothetical protein
EGAJGLNG_00278	CDS	600		1.6.5.2		NAD(P)H dehydrogenase (quinone)
EGAJGLNG_00279	CDS	699	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
EGAJGLNG_00280	CDS	753	bdcA		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
EGAJGLNG_00281	CDS	915	dmlR_2			HTH-type transcriptional regulator DmlR
EGAJGLNG_00282	CDS	2436				hypothetical protein
EGAJGLNG_00283	CDS	990				hypothetical protein
EGAJGLNG_00284	CDS	381				hypothetical protein
EGAJGLNG_00285	CDS	474				hypothetical protein
EGAJGLNG_00286	CDS	744	dhlB	3.8.1.2		(S)-2-haloacid dehalogenase
EGAJGLNG_00287	CDS	840				hypothetical protein
EGAJGLNG_00288	CDS	885				hypothetical protein
EGAJGLNG_00289	CDS	126	rpmJ		COG0257	50S ribosomal protein L36
EGAJGLNG_00290	CDS	669				hypothetical protein
EGAJGLNG_00291	CDS	177				hypothetical protein
EGAJGLNG_00292	CDS	963	mhpC_1	3.7.1.14		2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
EGAJGLNG_00293	CDS	1737	poxB_1	1.2.5.1	COG0028	Pyruvate dehydrogenase [ubiquinone]
EGAJGLNG_00294	CDS	393	cycA_1		COG3474	Cytochrome c-550
EGAJGLNG_00295	CDS	1494		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
EGAJGLNG_00296	CDS	414				hypothetical protein
EGAJGLNG_00297	CDS	1146				hypothetical protein
EGAJGLNG_00298	CDS	339				hypothetical protein
EGAJGLNG_00299	CDS	690				hypothetical protein
EGAJGLNG_00300	CDS	1257				hypothetical protein
EGAJGLNG_00301	CDS	1317	lutA			Lactate utilization protein A
EGAJGLNG_00302	CDS	411				hypothetical protein
EGAJGLNG_00303	CDS	942				hypothetical protein
EGAJGLNG_00304	CDS	1746	yddA_1		COG4178	Inner membrane ABC transporter ATP-binding protein YddA
EGAJGLNG_00305	CDS	1671	glcA		COG1620	Glycolate permease GlcA
EGAJGLNG_00306	CDS	417				hypothetical protein
EGAJGLNG_00307	CDS	675				hypothetical protein
EGAJGLNG_00308	CDS	576	alkA_1		COG0122	putative bifunctional transcriptional activator/DNA repair enzyme AlkA
EGAJGLNG_00309	CDS	468				hypothetical protein
EGAJGLNG_00310	CDS	465				hypothetical protein
EGAJGLNG_00311	CDS	198				hypothetical protein
EGAJGLNG_00312	CDS	1200				hypothetical protein
EGAJGLNG_00313	CDS	477				hypothetical protein
EGAJGLNG_00314	CDS	369				hypothetical protein
EGAJGLNG_00315	CDS	291				hypothetical protein
EGAJGLNG_00316	CDS	1647	groL5			60 kDa chaperonin 5
EGAJGLNG_00317	CDS	297	groS2_1		COG0234	10 kDa chaperonin 2
EGAJGLNG_00318	CDS	519				hypothetical protein
EGAJGLNG_00319	CDS	264				hypothetical protein
EGAJGLNG_00320	CDS	480				hypothetical protein
EGAJGLNG_00321	CDS	186				hypothetical protein
EGAJGLNG_00322	CDS	444				hypothetical protein
EGAJGLNG_00323	CDS	351				hypothetical protein
EGAJGLNG_00324	CDS	786				hypothetical protein
EGAJGLNG_00325	CDS	804				hypothetical protein
EGAJGLNG_00326	CDS	1479				hypothetical protein
EGAJGLNG_00327	CDS	672				hypothetical protein
EGAJGLNG_00328	CDS	1800	sfrB	1.-.-.-	COG0493	NADPH-Fe(3+) oxidoreductase subunit beta
EGAJGLNG_00329	CDS	1848				hypothetical protein
EGAJGLNG_00330	CDS	1056				hypothetical protein
EGAJGLNG_00331	CDS	1197				hypothetical protein
EGAJGLNG_00332	CDS	1545				hypothetical protein
EGAJGLNG_00333	CDS	1275				hypothetical protein
EGAJGLNG_00334	CDS	1944				hypothetical protein
EGAJGLNG_00335	CDS	591				hypothetical protein
EGAJGLNG_00336	CDS	489				hypothetical protein
EGAJGLNG_00337	CDS	2847	tal	2.2.1.2		Transaldolase
EGAJGLNG_00338	CDS	984		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
EGAJGLNG_00339	CDS	1494	zwf2	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase 2
EGAJGLNG_00340	CDS	753	pgl	3.1.1.31		6-phosphogluconolactonase
EGAJGLNG_00341	CDS	525		2.7.1.12	COG3265	Gluconokinase
EGAJGLNG_00342	CDS	804	ywtE	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YwtE
EGAJGLNG_00343	CDS	1809		3.2.1.28	COG3387	Trehalase
EGAJGLNG_00344	CDS	1950	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
EGAJGLNG_00345	CDS	1950	glgE2	2.4.99.16	COG0366	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 2
EGAJGLNG_00346	CDS	3306	glgB_1	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
EGAJGLNG_00347	CDS	2148	glgB_2	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
EGAJGLNG_00348	CDS	2073	glgX_1	3.2.1.-	COG1523	Glycogen operon protein GlgX 
EGAJGLNG_00349	CDS	1752	treZ	3.2.1.141	COG0296	Malto-oligosyltrehalose trehalohydrolase
EGAJGLNG_00350	CDS	2781				hypothetical protein
EGAJGLNG_00351	CDS	309				hypothetical protein
EGAJGLNG_00352	CDS	165				hypothetical protein
EGAJGLNG_00353	CDS	2643	ligD_1		COG1793	Multifunctional non-homologous end joining protein LigD
EGAJGLNG_00354	CDS	888	ku_1		COG1273	Non-homologous end joining protein Ku
EGAJGLNG_00355	CDS	243				hypothetical protein
EGAJGLNG_00356	CDS	690	kdpE		COG0745	Transcriptional regulatory protein KdpE
EGAJGLNG_00357	CDS	2712	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
EGAJGLNG_00358	CDS	606	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
EGAJGLNG_00359	CDS	2112	kdpB	3.6.3.12	COG2216	Potassium-transporting ATPase ATP-binding subunit
EGAJGLNG_00360	CDS	1704	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
EGAJGLNG_00361	CDS	105				hypothetical protein
EGAJGLNG_00362	CDS	90				hypothetical protein
EGAJGLNG_00363	CDS	465				hypothetical protein
EGAJGLNG_00364	CDS	276				hypothetical protein
EGAJGLNG_00365	CDS	255				hypothetical protein
EGAJGLNG_00366	CDS	930	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
EGAJGLNG_00367	CDS	1401				hypothetical protein
EGAJGLNG_00368	CDS	762			COG0330	putative protein
